GADA-9eqxjyoz,KOTA TASIKMALAYA,JAWA BARAT,-7.32931000,108.20849000,False,0.9,3,11
GADA-21gong,KOTA TEGAL,JAWA TENGAH,-6.87684100,109.13238600,False,0.9,3,10
GADA-nafzcg,KABUPATEN SRAGEN,JAWA TENGAH,-7.39807100,110.82760400,False,0.9,3,10
GADA-r1qqogvx,KOTA BANDUNG,JAWA BARAT,-6.90393000,107.67748000,False,0.9,3,10
GADA-ga1kab7j,KABUPATEN SUMEDANG,JAWA BARAT,-6.83759000,108.02141000,False,0.9,3,10
GADA-emzzip,KOTA SURAKARTA,JAWA TENGAH,-7.57161400,110.84098400,False,0.9,3,10
GADA-l9rayv,KOTA KENDARI,SULAWESI TENGGARA,-3.96467200,122.49623700,False,0.9,3,10
GADA-wg0z7ozg,KABUPATEN KOLAKA,SULAWESI TENGGARA,-4.05843000,121.59754000,False,0.9,3,10
GADA-dtkxrhx1,KOTA TANGERANG SELATAN,BANTEN,-6.30230200,106.68857400,False,0.9,3,10
GADA-1yjwbdrk,KABUPATEN BANDUNG,JAWA BARAT,-6.97270000,107.75258000,False,0.9,3,10
GADA-nwtx4i,KOTA TEGAL,JAWA TENGAH,-6.87701800,109.13078200,False,0.9,3,10
GADA-r1nak0ox,KABUPATEN BREBES,JAWA TENGAH,-6.97569000,108.97685000,False,0.9,3,10
GADA-x0g9ul,KABUPATEN TEGAL,JAWA TENGAH,-6.89730900,109.12706100,False,0.9,3,10
GADA-qbex1lgl,KABUPATEN SUMEDANG,JAWA BARAT,-6.70555000,107.95782000,False,0.9,3,10
GADA-yhtibj,KOTA BANJARMASIN,KALIMANTAN SELATAN,-3.32802900,114.59272000,False,0.9,3,10
GADA-ez342a,KOTA BATAM,KEPULAUAN RIAU,1.04080200,103.98304400,False,0.9,3,10
GADA-4q96gwjp,KOTA BALIKPAPAN,KALIMANTAN TIMUR,-1.24335100,116.85739500,False,0.9,3,9
GADA-hsrc2c,KOTA BALIKPAPAN,KALIMANTAN TIMUR,-1.26888400,116.84470400,False,0.9,3,9
