buyer_code,city,province_region,regional_seller,lat,lng,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-kwmnua,KABUPATEN SUKABUMI,JAWA BARAT,West,-6.870621,106.910319,False,0.9,6210000,9915000
GADA-xeyzlddx,KABUPATEN SUKABUMI,JAWA BARAT,West,-6.90462,106.97892,False,0.9,6210000,6325567
GADA-dv84kz,KABUPATEN PURWOREJO,JAWA TENGAH,East,-7.732281,109.877677,False,0.9,2071000,2349000
GADA-5ea97u,KOTA PALEMBANG,SUMATERA,West,-2.949883,104.741502,False,0.9,4146500,4290000
GADA-xloxj5dv,KOTA LHOKSEUMAWE,SUMATERA,West,5.1906,97.1308,False,0.9,4146500,9920100
GADA-u3b5po,KABUPATEN BANDUNG,JAWA BARAT,West,-7.019176,107.601522,False,0.9,6210000,10922000
GADA-13x7nq,KOTA PALU,SULAWESI PAPUA,East,-0.886901,119.860242,False,0.9,4058553,5850000
GADA-26vk7veo,KABUPATEN LAMPUNG TENGAH,SUMATERA,West,-5.0743,105.13196,False,0.9,4146500,4632500
GADA-lrgj7awx,KABUPATEN POLEWALI MANDAR,SULAWESI PAPUA,East,-3.40688,119.30761,False,0.9,4058553,13817000
GADA-5pxqq1,KOTA JAKARTA SELATAN,JABODETABEK 2,West,-6.263574,106.809593,False,0.9,7966500,15910000
GADA-uhtetk,KABUPATEN BANJAR,KALIMANTAN,East,-3.318292,114.651707,False,0.9,3393000,6509000
GADA-gvv0enz3,KABUPATEN KARANGANYAR,JAWA TENGAH,East,-7.53186,110.74706,False,0.9,2071000,3590000
GADA-badao6zo,KABUPATEN LAMPUNG UTARA,SUMATERA,West,-4.84771,104.91062,False,0.9,4146500,9240000
GADA-l7o3fox1,KABUPATEN PURBALINGGA,JAWA TENGAH,East,-7.307223,109.368326,False,0.9,2071000,3073026
GADA-mzrgjx7n,KABUPATEN LAMPUNG UTARA,SUMATERA,West,-4.82894,104.90218,False,0.9,4146500,9855000
GADA-dx9nn2,KOTA MEDAN,SUMATERA,West,3.573476,98.635139,False,0.9,4146500,7523250
GADA-90payb,KABUPATEN BOJONEGORO,JAWA TIMUR,East,-7.197558,111.934443,False,0.9,5128000,6407000
GADA-lomhjo,KOTA MEDAN,SUMATERA,West,3.601179,98.638194,False,0.9,4146500,5145000
GADA-2g6md2,KABUPATEN TEGAL,JAWA TENGAH,East,-7.045527,109.119782,False,0.9,2071000,3622000
GADA-mvpnzv,KOTA SUKABUMI,JAWA BARAT,West,-6.923176,106.925006,False,0.9,6210000,9016509
GADA-xxnbeqx1,KABUPATEN LABUHAN BATU,SUMATERA,West,2.096986,99.828015,False,0.9,4146500,5850000
GADA-l5mifl,KABUPATEN DELI SERDANG,SUMATERA,West,3.607712,98.582875,False,0.9,4146500,8188000
GADA-uh3mmg,KOTA JAKARTA TIMUR,JABODETABEK 2,West,-6.214878,106.878198,False,0.9,7966500,8997295
GADA-u5uu8g,KOTA JAKARTA TIMUR,JABODETABEK 2,West,-6.210884,106.876776,False,0.9,7966500,9170800
GADA-nktdxt,KABUPATEN BANYUMAS,JAWA TENGAH,East,-7.450769,109.2891,False,0.9,2071000,2102700
GADA-30mt50x0,KABUPATEN BANDUNG,JAWA BARAT,West,-6.991056,107.609481,False,0.9,6210000,12442000
GADA-xohp45,KOTA PALU,SULAWESI PAPUA,East,-0.868982,119.832325,False,0.9,4058553,4617500
GADA-xcysh8,KABUPATEN DELI SERDANG,SUMATERA,West,3.52438,98.776367,False,0.9,4146500,15085000
GADA-gazqo09n,KOTA BANDAR LAMPUNG,SUMATERA,West,-5.41746,105.27208,False,0.9,4146500,11447000
GADA-l5dyq1,KABUPATEN LAMONGAN,JAWA TIMUR,East,-7.101812,112.221938,False,0.9,5128000,5805000
GADA-lu7sv1x1,KABUPATEN SUKABUMI,JAWA BARAT,West,-6.910453,106.880082,False,0.9,6210000,10881795
GADA-dkR0,KABUPATEN BOGOR,JABODETABEK 2,West,-6.455101,106.899561,False,0.9,7966500,10820000
GADA-yskjf1,KABUPATEN TUBAN,JAWA TIMUR,East,-7.06426,112.008686,False,0.9,5128000,5246400
GADA-cy0y59,KABUPATEN BANDUNG,JAWA BARAT,West,-7.013594,107.63694,False,0.9,6210000,10560000
GADA-2p3fyl,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.279999,106.696386,False,0.9,7895000,11161000
GADA-9jdlui,KOTA SERANG,JABODETABEK 1,West,-6.127247,106.184071,False,0.9,7895000,10329000
GADA-zxrrd9nv,KABUPATEN MAGELANG,JAWA TENGAH,East,-7.60242,110.25835,False,0.9,2071000,3175000
GADA-mzvmqm76,KABUPATEN JEPARA,JAWA TENGAH,East,-6.52049,110.77043,False,0.9,2071000,2252250
GADA-58m714,KABUPATEN POLEWALI MANDAR,SULAWESI PAPUA,East,-3.425087,119.313555,False,0.9,4058553,4713000
GADA-hzt0mc,KOTA LHOKSEUMAWE,SUMATERA,West,5.177604,97.147462,False,0.9,4146500,4485054
GADA-55sdznx1,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.730594,116.48552,False,0.9,3539000,4708000
GADA-umvsfs,KABUPATEN SUMBA TIMUR,BALI NUSRA,East,-9.629359,120.428544,False,0.9,3539000,5578400
GADA-1ylke1jx,KABUPATEN TANGERANG,JABODETABEK 1,West,-6.10572,106.52773,False,0.9,7895000,8995500
GADA-8ykbt2,KABUPATEN SUKABUMI,JAWA BARAT,West,-6.916045,106.966404,False,0.9,6210000,14626584
GADA-x1rrj3,KABUPATEN PEMALANG,JAWA TENGAH,East,-6.84672,109.45215,False,0.9,2071000,4925500
GADA-n1kyd6,KOTA KENDARI,SULAWESI PAPUA,East,-3.942397,122.500795,False,0.9,4058553,9478000
GADA-l7oksc,KOTA MANADO,SULAWESI PAPUA,East,1.514906,124.86213,False,0.9,4058553,5947900
GADA-mlg36pzj,KABUPATEN LEBAK,JABODETABEK 1,West,-6.35038,106.25035,False,0.9,7895000,9000000
GADA-les2hq,KOTA SUKABUMI,JAWA BARAT,West,-6.93912,106.927183,False,0.9,6210000,9915000
