buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-kllozkoq,KABUPATEN PANDEGLANG,BANTEN,-6.34830000,105.93613000,False,0.9,10981000,37654000
GADA-kllryqqq,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12575000,104.20833000,False,0.9,21080000,26310000
GADA-kllx2wvw,KABUPATEN TASIKMALAYA,JAWA BARAT,-7.23066000,108.18844000,False,0.9,117064518,207332900
GADA-klolzdzz,KOTA MEDAN,SUMATERA UTARA,3.63317000,98.69052000,False,0.9,86472000,451150060
GADA-klrl6g1d,KABUPATEN KEDIRI,JAWA TIMUR,-7.78131000,112.08098000,False,0.9,10663000,11100000
GADA-klrr1a52,KABUPATEN PANDEGLANG,BANTEN,-6.31483000,106.10390000,False,0.9,10981000,100430000
GADA-klv17rqz,KOTA PALEMBANG,SUMATERA SELATAN,-2.93375000,104.77879000,False,0.9,21080000,44775000
GADA-klvbmxgb,KOTA TASIKMALAYA,JAWA BARAT,-7.35858000,108.17319000,False,0.9,117064518,151830000
GADA-klvjdoql,KABUPATEN PANGANDARAN,JAWA BARAT,-7.68563000,108.52883000,False,0.9,117064518,192939600
GADA-klvlenro,KABUPATEN KOTAWARINGIN TIMUR,KALIMANTAN TENGAH,-2.54363000,112.96289000,False,0.9,2612000,3747000
GADA-klvlkvro,KABUPATEN BANYU ASIN,SUMATERA SELATAN,-2.94303000,104.80118000,False,0.9,21080000,43200000
GADA-klvmylmb,KOTA TASIKMALAYA,JAWA BARAT,-7.39062000,108.20450000,False,0.9,117064518,150141600
GADA-klvmyp4o,KABUPATEN GARUT,JAWA BARAT,-7.19744000,107.90338000,False,0.9,117064518,172462500
GADA-klvxe3n1,KOTA PALEMBANG,SUMATERA SELATAN,-2.97544000,104.77262000,False,0.9,21080000,49600000
GADA-klvyl9eb,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12171000,104.21278000,False,0.9,21080000,125680000
GADA-klwnnp5b,KOTA AMBON,MALUKU,-3.66497200,128.16701100,False,0.9,7218000,8054000
GADA-klwzomx2,KOTA BINJAI,SUMATERA UTARA,3.59334700,98.47867300,False,0.9,86472000,139154000
GADA-km0n4y,KOTA MALANG,JAWA TIMUR,-8.01194900,112.62918500,False,0.9,10663000,12420000
GADA-kmhg1x,KABUPATEN JOMBANG,JAWA TIMUR,-7.49819900,112.30132800,False,0.9,10663000,45525000
GADA-kmzf9s,KABUPATEN SINJAI,SULAWESI SELATAN,-5.12000400,120.25708400,False,0.9,10100000,358140000
GADA-kndnoz,KOTA CILEGON,BANTEN,-6.01025900,106.02316500,False,0.9,10981000,210850000
GADA-knf5h1,KABUPATEN SUMEDANG,JAWA BARAT,-6.83095400,107.97684600,False,0.9,117064518,317720000
GADA-knruk1,KABUPATEN PURWOREJO,JAWA TENGAH,-7.74250300,109.90949400,False,0.9,1180690,562280000
GADA-kolwbtx1,KABUPATEN BONE,SULAWESI SELATAN,-4.61431000,120.31376400,False,0.9,10100000,129140800
GADA-kopiop,KOTA PAREPARE,SULAWESI SELATAN,-4.01561100,119.62134900,False,0.9,10100000,538260000
GADA-kozfcn,KOTA JAKARTA TIMUR,DKI JAKARTA,-6.24969000,106.90669300,False,0.9,99528000,1324600000
GADA-kp7tda,KABUPATEN JOMBANG,JAWA TIMUR,-7.49194800,112.27623100,False,0.9,10663000,61200000
