store_code,store_name,city_name,store_latitude,store_longitude
GADA-BGR2,Toko Gudang Ada Jabo2 Bogor2,KABUPATEN BOGOR,-6.45510100,106.89956100
GADA-JKTTMR,Toko Gudang Ada Jabo2 Jaktim,KOTA JAKARTA TIMUR,-6.18198400,106.94103800
GADA-gvvbdaqn,Toko Susilowati,,-7.81420000,110.35608000
GADA-LBKPGL2,Toko Gudang Ada Jabo1 Rangkas,KABUPATEN LEBAK,-6.35265200,106.25488200
GADA-JKTUTR,Toko Gudang Ada Jabo2 Jakut,KOTA JAKARTA UTARA,-6.12311100,106.91035800
GADA-TGK2,Toko Gudang Ada Jabo1 Tangerang Kota2,KABUPATEN TANGERANG,-6.26174500,106.56089800
GADA-7ywyr2ly,Rara Jaya 2,KABUPATEN SUBANG,-6.57010000,107.75340000
GADA-l8qtyq,UD Darussalam (Gudang),KOTA KENDARI,-3.96451200,122.52072600
GADA-LSM2,Toko Gudang Ada Lhokseumawe2,KOTA LHOKSEUMAWE,5.17622000,97.12693300
GADA-eueY,KL19070331-Toko Bonanza (Gudang),KOTA PALEMBANG,-2.92088200,104.79471100
GADA-PLM,Toko Gudang Ada Palembang,KOTA PALEMBANG,-3.03680300,104.77057300
GADA-xlvl2gw5,GUDANG GROSIR,KOTA BANDA ACEH,5.51805000,95.30342000
GADA-JTU,Toko Gudang Ada Tegal Jateng Utara,KABUPATEN TEGAL,-6.86854800,109.17908500
GADA-klgkawkd,Toko SUMBER REJEKI,KABUPATEN KARAWANG,-6.31155000,107.31966000
GADA-mlgllj7j,Toko Indomarta,KABUPATEN SERANG,-6.08583000,105.91207000
GADA-l2t2bj,yafet-pdembun (Gudang),KABUPATEN BANDUNG,-6.96605600,107.57327000
GADA-TPG2,Toko Gudang Ada Tanjung Pinang2 Sumbagteng,KOTA TANJUNG PINANG,0.90388500,104.52926500
GADA-TPG,Toko Gudang Ada Tanjung Pinang Sumbagteng,KOTA TANJUNG PINANG,0.92001300,104.50659000
GADA-MDN2,Toko Gudang Ada Medan Sumbagut,KOTA MEDAN,3.59244000,98.64409000
GADA-hj6tm5,oq mart (Gudang),KOTA TANGERANG SELATAN,-6.25788900,106.66477100
GADA-l7evau,glady-tkdualima (Gudang),KOTA MAKASSAR,-5.16479800,119.41183100
GADA-h80jcv,DX19051413-Toko Samajaya (Gudang),KOTA SEMARANG,-6.98358400,110.42772400
GADA-mwmq,SL19020380-CV Pandawa (Gudang),,-3.32614600,114.59222300
GADA-JMB,Toko Gudang Ada Jambi Sumbagteng,KOTA JAMBI,-1.64485800,103.63612700
GADA-BDL3,Toko Gudang Ada Lampung Tengah Sumbagsel,KABUPATEN LAMPUNG TENGAH,-5.09502100,105.20778000
GADA-9en09m0z,Tk Paten Jaya,,3.63065000,98.66952000
BintangTigaAnugerah,Bintang Tiga Anugerah,KABUPATEN LAMPUNG SELATAN,-5.27644000,105.18767000
IndokopiMakmur,Indokopi Makmur,KOTA TANGERANG,-6.20337000,106.68831000
GADA-PBR,Toko Gudang Ada Pekan Baru Sumbagteng,KOTA PEKANBARU,0.47066100,101.39385300
GADA-JBU,Toko Gudang Ada Sumedang Jabar Utara,KABUPATEN SUMEDANG,-6.79835000,107.94409300
GADA-26gavj67,Sulung Mas,KOTA MOJOKERTO,-7.46669000,112.43384000
KrupukIkanTerbangNKLPurwokerto,KrupukIkanTerbangNKL Purwokerto,KABUPATEN BANYUMAS,-7.42545000,109.24981000
GADA-SLO,Toko Gudang Ada Solo Jateng Selatan,KABUPATEN DEMAK,-6.87170600,110.73158100
GADA-PAL,Toko Gudang Ada Palu Sulut,KOTA PALU,-0.84083600,119.88340900
GADA-lrgdgkqe,Tk Banyu Mili,KABUPATEN BANJARNEGARA,-7.41721000,109.68104000
GADA-vivf,BB19061106-Toko Gibran (Gudang),,-6.17204000,106.72213000
GADA-6z5arzmo,Mitra 81 Grosir,KABUPATEN MALANG,-7.93644000,112.58624000
GADA-6zv2mln1,tk nova,KABUPATEN PASAMAN BARAT,0.09448000,99.82843000
GADA-vovL,Toko Hasjaya,KABUPATEN KUTAI KARTANEGARA,-1.22670000,116.84476000
GADA-qbe0mgyb,Toko Laela,,-6.18948000,107.00190000
GADA-qlnawyjr,toko subur,KOTA JAKARTA TIMUR,-6.21505000,106.87861000
GADA-orKb,43926 Tkrahmadrezeki (Gudang),,5.21968600,97.05656600
GADA-xc0bsy,sumber sembako (Gudang),KABUPATEN CIREBON,-6.75950300,108.48557900
Abrofood,Abrofood,KOTA PADANG PANJANG,-0.46460000,100.40839000
GADA-qYpn,Annisa,,-2.39690000,115.25857000
GADA-yh0f5j,tkbilqis (Gudang),KABUPATEN BANJAR,-3.32550000,114.70550300
GADA-SRGCLG4,Toko Gudang Ada Jabo1 Cilegon2,KOTA CILEGON,-6.02500000,106.05279000
GADA-SKB,Toko Gudang Ada Sukabumi Jabar Selatan,KABUPATEN SUKABUMI,-6.91773900,106.96422600
GADA-PBR2,Toko Gudang Ada Pekan Baru2 Sumbagteng,KOTA PEKANBARU,0.51280000,101.43782000
GADA-PSP,Toko Gudang Ada Padangsidempuan Sumbagut,KOTA PADANGSIDIMPUAN,1.40604460,99.22919890
GADA-BTM,Toko Gudang Ada Batam Sumbagteng,KOTA BATAM,1.06008000,103.92019900
GADA-LBKPGL3,Toko Gudang Ada Jabo1 Pandeglang2,KABUPATEN PANDEGLANG,-6.31719500,106.10056400
GADA-PYK,Toko Gudang Ada Payakumbuh Sumbagut,KABUPATEN LIMA PULUH KOTA,-0.13109500,100.53875100
GADA-SRGCLG1,Toko Gudang Ada Jabo1 Serang2,KOTA SERANG,-6.13904400,106.18617300
GADA-JKTTMR2,Toko Gudang Ada Jabo2 Jaktim2,KOTA JAKARTA TIMUR,-6.21583900,106.86268000
GADA-BDL2,Toko Gudang Ada Bandar Lampung2,KOTA BANDAR LAMPUNG,-5.39502300,105.26025400
GADA-LMG,Toko Gudang Ada Lamongan Jatim,KABUPATEN LAMONGAN,-7.23415700,112.15792500
GADA-BYW,Toko Gudang Ada Banyuwangi Jatim,KABUPATEN BANYUWANGI,-8.21369300,114.37742000
GADA-SBY,Toko Gudang Ada Bangkalan Jatim,KABUPATEN BANGKALAN,-7.02702000,112.75497000
GADA-JBG,Toko Gudang Ada Jombang Jatim,KABUPATEN JOMBANG,-7.53630300,112.23730600
GADA-TGS1,Toko Gudang Ada Jabo1 Tangerang Sel1,KOTA TANGERANG SELATAN,-6.32825700,106.70971300
GADA-TGR2,Toko Gudang Ada Jabo1 Tangerang2,KABUPATEN TANGERANG,-6.18673400,106.53303000
GADA-qlxexodx,Dino Stokis,,-6.87172000,109.37142000
GADA-PMK,Toko Gudang Ada Pamekasan Jatim Utara,KABUPATEN PAMEKASAN,-7.17537200,113.46836900
GADA-kljxzree,Semoga Berkah,KOTA DENPASAR,-8.65801000,115.19725000
GADA-u5dxoh,Toko Nabil (Gudang),KABUPATEN KARAWANG,-6.32445500,107.37324800
GADA-3xvxbkxq,Toko Wijaya,KOTA JAKARTA PUSAT,-6.18304000,106.86011000
GADA-xohwus,Toko kenari,,0.89363400,108.98747900
GADA-yqerzm5d,Toko Sumber Rejeki,KABUPATEN BANDUNG,-6.97383500,107.59899500
TriraksaJayaMandiri,CV. TRIRAKSA JAYA MANDIRI,KABUPATEN TANGERANG,-6.23511000,106.52273000
GADA-5q511m,Sinar Mulia,KABUPATEN KUPANG,-10.15210000,123.62079000
GADA-xcex5a,gudang sinar terang,KOTA JAKARTA TIMUR,-6.21581000,106.86262800
Sanford,Sanford,KABUPATEN BINTAN,0.88208600,104.58095100
KaryaAbadiPlasindo,KARYA ABADI PLASINDO,KOTA BANDUNG,-6.93708200,107.58305300
Schoko,PT Mitra Dunia Pangan,KOTA SURABAYA,-7.25290300,112.79268700
TriwisesaSejahtera,TriwisesaSejahtera (Gudang),KABUPATEN TANGERANG,-6.12022100,106.62204000
Sosro,PT Sasana Cakra Mekarjaya,KABUPATEN TANGERANG,-6.23179700,106.61408000
GADA-lekfjd,Arena,KABUPATEN AGAM,-0.30724600,100.41050600
