store_code,store_name,city_name,store_latitude,store_longitude
GADA-8ghue3,Hidayat-tkrieda (Gudang),KABUPATEN PASURUAN,-7.76027400,112.65739500
GADA-dlvsqt,Toko Hasanah (Gudang),KOTA PALU,-0.88763100,119.86431900
GADA-fvpj9z,BLANZA (Gudang),KABUPATEN KOTAWARINGIN BARAT,-2.69330500,111.63057700
GADA-lte4i9,Mjs,KOTA BEKASI,-6.37330000,106.91743000
GADA-l25rfp,sari pasar (Gudang),KABUPATEN LOMBOK TIMUR,-8.66567100,116.56068000
GADA-jdynle,juwin-tkkilaupermatasejati (Gudang),KOTA MEDAN,3.55033100,98.69843300
GADA-1cnoki,CV. AGM (ADA GUNA MEGAH) (Gudang),KABUPATEN PANDEGLANG,-6.32206000,106.08966000
GADA-lxx5jb,khalifa (Gudang),KABUPATEN BLITAR,-8.09001000,112.04837000
GADA-leqhzx,Jaya Utama,KABUPATEN PESISIR SELATAN,-1.34043100,100.58424300
GADA-lpz10k,Toko Kota Baru Indah,KOTA TERNATE,0.77900200,127.38522700
GADA-lzh13j,MSA (Gudang),KABUPATEN BEKASI,-6.16662200,106.98578600
GADA-n3k9oj,Toko Gita (Gudang),KOTA DENPASAR,-8.60606400,115.23591100
GADA-lbg3yt,mandiri,KOTA AMBON,-3.63125400,128.25206000
GADA-lom0uy,aneka plastik (Gudang),KABUPATEN BULELENG,-8.09119200,115.12241800
GADA-dfln5g,TK JAYA FAJAR (Gudang),KABUPATEN LUMAJANG,-8.12816900,113.22492400
GADA-9ipznb,brandon,KOTA BEKASI,-6.30492100,106.93728500
GADA-5841e3,dua putra,KABUPATEN LOMBOK TENGAH,-8.69133300,116.31781700
GADA-587k1e,gudang haji malik,KOTA JAKARTA TIMUR,-6.31410900,106.89436300
GADA-h8ojo7,tk como (Gudang),KABUPATEN MUSI RAWAS,-3.26513800,102.92283200
GADA-dts431,berkah abadi (Gudang),KABUPATEN MAGELANG,-7.52503300,110.23560300
GADA-5v02ay,lime mart toko sinar terang luar (Gudang),KOTA JAKARTA TIMUR,-6.21782200,106.86392400
GADA-lc4nvl,muh sain seller semoga laris (Gudang),KABUPATEN POLEWALI MANDAR,-3.42063600,119.32667800
GADA-l2tmva,tk pakdeh (Gudang),KOTA LUBUKLINGGAU,-3.26938700,102.92398700
GADA-lt714y,sederhana (Gudang),KABUPATEN ROKAN HILIR,1.30154900,101.17918900
GADA-keroiv,TOKO MERVINA (Gudang),KOTA BENGKULU,-3.81537800,102.29936500
GADA-1pe325,rejeki lancar (Gudang),KOTA PROBOLINGGO,-7.75443600,113.21858600
GADA-5vmjkl,Aulia (Gudang),KABUPATEN INDRAGIRI HILIR,-0.33623400,103.14120700
GADA-ikjago,h.achmadrozhan (Gudang),KABUPATEN BANJAR,-3.40782400,114.85056100
GADA-l9xlj7,nurrezky-tknewhera-pare (Gudang),KOTA PAREPARE,-4.01129000,119.63631300
MONTISS,"PT Star Paper Supply, Manduro MG, Ngoro, Mojokerto",KABUPATEN MOJOKERTO,-7.56638000,112.64043000
GADA-u8matx,shakila jaya (Gudang),KABUPATEN TRENGGALEK,-8.11686200,111.77553800
GADA-x3yof3,Latifah,KABUPATEN JEPARA,-6.66894000,110.70224000
GADA-e2rxit,Jaya Perkasa,KOTA BIMA,-8.45875900,118.72182100
ReckittBenckiser,ReckittBenckiser (Gudang),KOTA BEKASI,-6.26878500,106.93738400
POLOCOCOASBY,POLOCOCOASBY,KOTA SURABAYA,-7.25943200,112.68385000
GADA-ez7tjz,toko yuliyana (Gudang),KOTA BOGOR,-6.60421700,106.79840400
GADA-cgOt,EQ19020106-Toko Sumber Jaya (Gudang),KABUPATEN JOMBANG,-7.53630300,112.23730600
ELADA,ELADA,KOTA TANGERANG SELATAN,-6.32695500,106.71226800
GADA-xpxzkz,lia (Gudang),KOTA JAKARTA TIMUR,-6.18198400,106.94103800
MUSTIKARATU,MUSTIKARATU,KOTA JAKARTA TIMUR,-6.33147600,106.86729700
CABEPAYUNG,CABEPAYUNG,KABUPATEN BOGOR,-6.40269600,106.95719100
GADA-xugwsr,TK WIJAYA (Gudang),KABUPATEN TEGAL,-6.94012700,109.13817300
GADA-u5cliq,Nizam (Gudang),KABUPATEN LAMPUNG TENGAH,-5.07106000,105.15513500
GADA-xxq28k,toko arif 72 (Gudang),KABUPATEN SIDENRENG RAPPANG,-3.92714100,119.80129700
KrupukIkanTerbangNKL,KrupukIkanTerbangNKL,KABUPATEN CILACAP,-7.30761500,108.67694500
KecapAren,KecapAren,KABUPATEN BANYUMAS,-7.44237900,109.25949200
AIRJAM,AIRJAM,KABUPATEN TEGAL,-6.95801100,109.13864200
GADA-TGS2,Toko Gudang Ada Jabo1 Tangerang Sel2,KOTA TANGERANG SELATAN,-6.35008300,106.74991000
PONDAN,PONDAN (Gudang),KOTA TANGERANG,-6.19231400,106.55749700
GADA-u8q6am,Toko wijaya 2 (Gudang),KOTA MEDAN,3.56599400,98.64074900
Itoen,Itoen,KOTA JAKARTA TIMUR,-6.19260100,106.91733500
Herbangin,Herbangin (Gudang),KOTA JAKARTA UTARA,-6.14241000,106.91403700
GADA-ue6c4r,IB GROSIR 2 (Gudang),KOTA BINJAI,3.60241700,98.48870700
GADA-xoo4bv,Mikro Pasaraya (Gudang),KOTA BANDUNG,-6.93147200,107.59011000
BantanJakarta,BantanJakarta (Gudang),KOTA TANGERANG SELATAN,-6.33790100,106.67881200
GADA-x0uex6,tk Said Hasan (Gudang),KOTA BANJARMASIN,-3.30690900,114.61287400
GADA-xzu6,EG19010023-Toko Samijoyo (Gudang),KOTA MALANG,-7.98873100,112.63423000
GADA-xx5i73,Toko Ricky (Gudang),KABUPATEN TANGERANG,-6.17687200,106.44657700
GADA-ezhi30,Nirwana (Gudang),KABUPATEN GRESIK,-7.15208100,112.65127200
GADA-BNA,Toko Gudang Ada Aceh,KOTA BANDA ACEH,5.55741600,95.33247200
GADA-eIxL,EX19010157-Toko ABC (Gudang),KABUPATEN LAMONGAN,-7.23415700,112.15792500
GADA-tKnP,CR19020188-Toko Sejahtera (Gudang),,-6.99358800,107.53188000
GADA-klbx57wb,Jona Jaya,KABUPATEN BATANG,-6.89358000,109.73922000
GADA-y4fA,EX19020163-Toko YKH (Gudang),,-7.10563000,112.16672700
GADA-dVga,IK19080104-Toko Baba (Gudang),KOTA PEKANBARU,0.53302300,101.40323500
GADA-n4ku,IE19060805-Toko Mitra Sari (Gudang),KABUPATEN SIAK,0.67047100,101.60841100
GADA-zvio,KL19080271-Toko Johan Betawi (Gudang),KOTA PALEMBANG,-2.94524300,104.77056800
GADA-ilpjhq,yudha-tk yudha (Gudang),,-4.13640400,104.20693600
POLOCOCOA,POLOCOCOA (Gudang),KOTA JAKARTA BARAT,-6.14962400,106.72837500
GADA-ymbvzpk4,toko rahayu,KABUPATEN DELI SERDANG,3.60568000,98.80745000
GADA-xtQM,pm swalayam,KABUPATEN BIREUEN,5.19580000,96.78770000
GADA-qLwx,38283 Eko-tkvanigas (Gudang),,1.27422900,101.12074300
GADA-vz0A,E119132209-Toko Saiful Jaya (Gudang),KABUPATEN PAMEKASAN,-7.17537200,113.46836900
GADA-uhBB,ET19134662-Toko Putri Setia (Gudang),KABUPATEN MAGETAN,-7.62456000,111.37945900
GADA-nXB8,62946 Jaya semi (Gudang),KOTA PASURUAN,-7.63532600,112.91532500
GADA-kqWE,OJ19142573- Toko Basis (Gudang),KOTA JAMBI,-1.63902900,103.54454200
GADA-bOTz,IS19144003-Toko Sari Jaya (Gudang),,0.92001300,104.50659000
GADA-xx895f,CV 6 JAYA (Gudang),KABUPATEN OGAN KOMERING ULU,-4.09971000,104.15542000
GADA-nycoev,Altha Jaya (Gudang),KABUPATEN JEMBER,-8.22017800,113.69297300
GADA-xal54i,Toko Pak Yuri (Gudang),KABUPATEN WONOGIRI,-7.82515000,110.92248400
GADA-9xqnr8,AA JAYA 1 (Gudang),KABUPATEN BOGOR,-6.45391400,106.81922400
GADA-hyaP,AB19020178-Toko MMS (Gudang),KOTA TANGERANG SELATAN,-6.24774800,106.68539900
GADA-nkq9wj,toko lina (Gudang),KABUPATEN LAMPUNG TENGAH,-5.09502100,105.20778000
GADA-n65gcb,UD FLOBAMOR (Gudang),,-9.69496600,120.50854100
GADA-zPcB,SL19030030-Toko Ibak (Gudang),KOTA BANJARMASIN,-3.35336800,114.59744300
GADA-h5k3qj,khofelix-tkshannon (Gudang),KABUPATEN SAMPANG,-6.89397200,113.29178800
GADA-l26b56,Udin (Gudang),KOTA BENGKULU,-3.79219500,102.26853200
GADA-4qv1m4e9,Toko Elly,,-6.26381500,106.42752000
GADA-av1v,E719030078-Toko Gunawan (Gudang),KOTA BLITAR,-8.09122600,112.16693200
GADA-l8ksde,Queen Snack (Gudang),KABUPATEN JEPARA,-6.57151000,110.68114400
GADA-7cz0ee,Munasir-tkNasir (Gudang),KABUPATEN TEGAL,-6.90246100,109.21295100
GADA-k53p,EQ19030138-Toko Kawan (Gudang),KABUPATEN JOMBANG,-7.62031700,112.36954100
GADA-nk0n6n,TK BERAS WAY HALIM (Gudang),KOTA BANDAR LAMPUNG,-5.38385300,105.27141900
GADA-vcEN,44030 Tk-manisselalu (Gudang),KABUPATEN LAMPUNG UTARA,-4.82865900,104.89621400
GADA-n2vijk,toko budi (Gudang),KOTA BANJARMASIN,-3.30921300,114.57923100
GADA-wHLh,62124 Tri-tktriwahyuni (Gudang),KABUPATEN BANYUMAS,-7.39741500,109.22330300
GADA-am9W,EX19110800-Toko Ali Jaya (Gudang),KABUPATEN LAMONGAN,-7.10851000,112.16555900
GADA-emef4i,toko alya (Gudang),KABUPATEN BONE,-4.54727700,120.32173600
GADA-l1fw21,ridho-tkhoras (Gudang),KABUPATEN BANDUNG,-7.01979700,107.59614200
GADA-xleq6ox0,Gibran plastik fmcg,KABUPATEN BONE,-4.54836700,120.32183200
GADA-x4k8f2,tk songo (Gudang),KABUPATEN SIDOARJO,-7.51628000,112.65445800
GADA-52y2xl,Sederhana (Gudang),KABUPATEN PIDIE,5.38385100,95.96122500
GADA-u8vgq0,Harum Manis (Gudang),KABUPATEN JEMBRANA,-8.36314600,114.61995200
WeeJayaKusuma,Wee Jaya Kusuma,KOTA JAKARTA BARAT,-6.17794000,106.71204600
GADA-ymovmnnj,Toko Samudera 1,KOTA DEPOK,-6.38808000,106.78326000
GADA-ymn4nnmx,JASA AWAI,KABUPATEN PIDIE,5.34701000,95.96538000
GADA-hzzncd,solikin tk (Gudang),KABUPATEN LUMAJANG,-8.24778500,113.17860700
GADA-ixo7m8,leon-tksayapmas (Gudang),KOTA BUKITTINGGI,-0.27797600,100.36685400
GADA-503rfo,senja-tkkurniadewi (Gudang),KABUPATEN SEMARANG,-7.21896500,110.41752800
GADA-xb6b5a,toko sumber jaya (Gudang),KOTA BATAM,1.11501900,104.09672300
GADA-lenr19,Toko Sami Mulyo,KABUPATEN NGANJUK,-7.60040000,111.92120000
BantanBali,BantanBali,,-8.38368000,114.57606000
GADA-xskgfp,tk syahril (Gudang),KOTA BALIKPAPAN,-1.26391600,116.88716900
GULAVIT,GULAVIT (Gudang),KABUPATEN BOGOR,-6.41017900,106.94269600
GADA-uenj4x,Kemurahan (Gudang),KABUPATEN BANYUWANGI,-8.55354500,114.11183600
