buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-yv7ubx,KOTA KUPANG,NUSA TENGGARA TIMUR,-10.16454500,123.64579600,False,0.9,11680000,12155000
GADA-yhbhk9,KOTA KUPANG,NUSA TENGGARA TIMUR,-10.15478400,123.62205500,False,0.9,11680000,12155000
GADA-7344wr,KOTA PEKANBARU,RIAU,0.44741900,101.45962100,False,0.9,9720000,12154000
GADA-jafzgz,KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.29021600,102.86400300,False,0.9,9685200,12154000
GADA-simmpz,KOTA PADANG,SUMATERA BARAT,-0.88545700,100.39304800,False,0.9,3600100,12151000
GADA-ui7s8o,KOTA MEDAN,SUMATERA UTARA,3.54881700,98.69871100,False,0.9,9893000,12150000
GADA-fypccj,KOTA KEDIRI,JAWA TIMUR,-7.82329800,112.02315200,False,0.9,4716500,12150000
GADA-hpp9kmx1,KABUPATEN MAGETAN,JAWA TIMUR,-7.70417200,111.45551200,False,0.9,4716500,12150000
GADA-ledf02,KOTA MADIUN,JAWA TIMUR,-7.61306600,111.55566400,False,0.9,4716500,12150000
GADA-38rlyj,KOTA BATAM,KEPULAUAN RIAU,1.10796800,104.08597400,False,0.9,11550000,12147500
GADA-ql0vo0xp,KABUPATEN INDRAGIRI HILIR,RIAU,-0.31901000,103.14956000,False,0.9,9720000,12143500
GADA-tjfnd2,KABUPATEN PESISIR SELATAN,SUMATERA BARAT,-1.30146900,100.51264900,False,0.9,3600100,12135000
GADA-pvnoir,KOTA PEKANBARU,RIAU,0.53682500,101.43938400,False,0.9,9720000,12134000
GADA-axzjrqla,KOTA BINJAI,SUMATERA UTARA,3.60418600,98.45755400,False,0.9,9893000,12130000
GADA-yt5qdg,KABUPATEN INDRAGIRI HULU,RIAU,-0.55326500,102.41058600,False,0.9,9720000,12130000
GADA-b15f7o,KOTA MEDAN,SUMATERA UTARA,3.63030700,98.66911800,False,0.9,9893000,12123500
